id,country_code,country,city,ip,host,port,supplier
61596,CA,United States,洛杉矶,66.146.103.162,speedtest.uia.net,8080,"Ultimate Internet Access, Inc."
71892,DE,Germany,法兰克福,94.159.100.238,de-lg.h2.nexus,8080,H2NEXUS LTD
69840,SG,Singapore,新加坡,103.172.182.13,sg-bgp-speedtest.nearoute.io.prod.hosts.ooklaserver.net,8080,Nearoute Limited
28912,HK,Hong Kong,中国香港,50.7.251.4,lg-hkg.fdcservers.net,8080,fdcservers.net
69792,JP,Japan,日本东京,46.250.248.56,tyo.st.spacecore.pro.prod.hosts.ooklaserver.net,8080,SpaceCore.pro | Premium VPS Hosting
